# {"t_start": 1568026764.0846622, "env_id": "HalfCheetah-v2"} 
r,l,t
-640.713522,1000,3.215867
-756.069498,1000,4.411212
-756.709948,1000,5.614637
-706.233804,1000,6.823291
-710.655305,1000,8.023369
-885.552979,1000,9.225136
-663.776073,1000,10.43291
-706.192336,1000,11.654015
-694.548011,1000,12.872637
-779.655596,1000,14.075138
-890.38784,1000,15.276544
-650.730565,1000,16.478135
-741.747045,1000,17.68161
-612.111058,1000,18.890038
-856.784369,1000,20.089512
-710.2862,1000,21.290996
-753.524483,1000,22.494581
-715.31393,1000,23.696313
-720.19766,1000,24.911964
-807.072362,1000,26.115242
-558.131846,1000,27.315988
-711.071418,1000,28.522733
-651.763208,1000,29.721956
-687.815487,1000,30.911118
-731.363101,1000,32.112136
-821.190554,1000,33.323846
-616.279537,1000,34.524058
-740.769182,1000,35.741089
-847.570592,1000,36.939908
-798.497667,1000,38.160266
-649.059634,1000,39.372211
-644.737011,1000,40.57082
-661.866108,1000,41.776324
-634.195608,1000,42.979403
-661.715316,1000,44.167595
-735.04626,1000,45.379077
-593.191987,1000,46.582118
-672.272076,1000,47.810242
-619.948468,1000,49.026156
-742.642422,1000,50.252905
-614.174079,1000,51.465463
-630.752596,1000,52.72525
-667.891741,1000,53.930457
-600.674678,1000,55.13233
-594.72672,1000,56.349839
-691.75676,1000,57.559567
-645.265571,1000,58.772546
-665.665563,1000,59.987843
-641.619165,1000,61.195965
-659.875337,1000,62.398693
-667.421504,1000,63.599797
-732.526957,1000,64.813838
-631.068817,1000,66.012696
-687.426343,1000,67.21143
-640.051569,1000,68.411157
-568.299279,1000,69.613686
-677.276642,1000,70.803216
-715.315765,1000,72.020106
-699.007443,1000,73.227799
-798.995002,1000,74.437825
-624.353504,1000,75.656641
-572.968983,1000,76.864562
-700.436335,1000,78.077613
-581.836834,1000,79.293538
-557.837465,1000,80.507504
-670.878596,1000,81.717652
-660.367667,1000,82.93991
-748.229515,1000,84.147575
-743.410466,1000,85.371424
-768.649766,1000,86.58143
-642.09681,1000,87.781829
-511.865519,1000,88.984487
-620.336395,1000,90.188042
-700.79901,1000,91.393566
-690.543774,1000,92.601573
-695.331946,1000,93.803922
-683.789853,1000,95.003594
-705.024023,1000,96.206178
-641.419435,1000,97.398925
-664.559408,1000,98.609141
-713.036855,1000,99.812244
-792.624841,1000,101.016165
-709.234437,1000,102.223424
-671.502101,1000,103.434829
-695.625159,1000,104.642145
-795.562128,1000,105.846286
-754.197251,1000,107.047907
-713.649016,1000,108.250302
-729.443635,1000,109.453237
-776.92535,1000,110.641818
-716.316347,1000,111.842399
-709.21856,1000,113.044687
-896.438646,1000,114.245506
-728.800548,1000,115.449363
-703.9854,1000,116.650209
-721.784847,1000,117.850728
-798.867294,1000,119.051977
-762.043995,1000,120.252983
-868.55798,1000,121.460109
-838.763529,1000,122.664244
-800.642124,1000,123.859573
-787.42721,1000,125.066597
-750.718359,1000,126.269272
