# {"t_start": 1568112866.3517509, "env_id": "Hopper-v2"} 
r,l,t
11.592454,15,2.237736
12.558051,19,2.272962
15.48221,19,2.308502
10.937994,15,2.335789
27.346809,30,2.391507
17.283409,25,2.437811
19.26265,26,2.486563
19.09242,26,2.533787
23.225586,28,2.58592
26.180463,26,2.633664
25.08286,25,2.680018
11.718384,15,2.707782
27.104404,32,2.766743
18.422588,21,2.805499
19.816174,27,2.855192
15.847709,22,2.895344
16.859488,21,2.934158
18.695088,23,2.977253
21.417221,29,3.030623
7.061215,9,3.047765
14.354931,24,3.091959
7.536197,9,3.109201
20.672125,24,3.154313
18.883698,28,3.205645
14.098278,20,3.24253
21.767307,33,3.304003
140.242141,129,3.541708
8.951082,11,3.563302
27.4041,26,3.614574
16.421595,25,3.66054
22.916857,25,3.707318
19.349941,23,3.750863
17.896906,21,3.788741
7.956453,10,3.807498
15.290288,19,3.8456
26.899317,32,3.906758
5.81274,8,3.922504
18.476981,24,3.967203
7.489789,12,3.990702
21.538068,27,4.041335
10.280215,15,4.069642
9.332145,11,4.09042
30.195929,32,4.151863
6.000247,8,4.167729
6.311303,9,4.184049
21.364711,25,4.229626
9.401879,11,4.249982
10.46244,13,4.274337
37.67853,41,4.351472
39.810141,39,4.4234
16.99758,24,4.468253
19.678019,26,4.516225
18.378164,21,4.555799
6.025856,8,4.570704
29.556482,29,4.62492
18.222404,23,4.66795
25.312074,24,4.712557
9.195319,11,4.732956
13.497181,17,4.765416
26.162603,28,4.818076
22.683198,24,4.862639
11.679382,19,4.897401
24.832821,26,4.945616
4.867453,8,4.960555
25.72799,24,5.004515
10.808042,13,5.029014
6.254116,8,5.043925
24.97512,28,5.0959
37.780808,40,5.17105
12.02906,22,5.2123
10.318151,12,5.235232
16.673797,21,5.27446
7.339619,9,5.291517
26.420018,29,5.345557
20.67811,26,5.393888
20.536395,20,5.430855
12.330138,20,5.46786
18.220366,24,5.511605
20.761879,20,5.548288
18.239809,22,5.589566
10.28827,16,5.619291
4.879857,7,5.632983
9.654468,11,5.653837
8.646506,10,5.672989
25.059672,27,5.722677
8.12533,10,5.741872
20.640724,25,5.788258
8.782919,11,5.808758
6.317624,8,5.823865
17.315985,20,5.859899
28.725257,27,5.909782
7.46107,10,5.928602
19.358224,24,5.972492
9.269178,15,5.99983
33.31166,30,6.054547
6.752139,9,6.071194
11.584043,13,6.095803
6.225623,8,6.110842
10.690799,13,6.135638
21.950949,23,6.178017
38.638917,37,6.245377
11.843833,16,6.274919
10.282035,13,6.299576
9.564668,12,6.322132
30.038243,37,6.391668
7.473879,10,6.41008
6.809427,9,6.427254
15.290235,16,6.45668
9.575987,11,6.477555
15.20779,18,6.51078
15.396447,23,6.552998
7.42143,9,6.569516
25.439842,27,6.619126
19.531625,25,6.664877
26.791152,27,6.714081
12.443765,19,6.74892
29.388302,28,6.800324
18.761755,23,6.843647
16.352552,23,6.886174
24.391858,29,6.939421
30.888099,31,6.997024
7.341345,9,7.013956
5.833593,8,7.028618
12.170394,14,7.054448
25.292458,27,7.104833
61.914774,52,7.200386
20.961085,23,7.244152
22.752784,24,7.289141
11.155232,13,7.313785
10.434839,12,7.336589
12.572147,18,7.371705
13.612756,15,7.400409
21.932698,25,7.447395
7.545022,9,7.464246
13.499069,15,7.493474
31.366004,32,7.55584
7.388079,10,7.575327
20.480382,24,7.620165
12.602503,19,7.657159
66.864543,57,7.763656
49.527376,38,7.835436
24.10381,26,7.884914
19.564088,29,7.940424
80.434537,64,8.059993
13.766976,24,8.105537
13.991677,17,8.139555
7.12654,9,8.156596
64.084202,63,8.274626
7.218218,9,8.291374
22.754428,26,8.340638
7.680222,9,8.357523
6.688208,9,8.374913
28.848499,29,8.431478
14.950284,22,8.474049
19.772948,22,8.515949
7.294191,9,8.532801
5.659269,8,8.54795
17.38336,22,8.588717
14.283804,19,8.624799
6.194221,8,8.63997
15.530915,19,8.676003
14.419524,22,8.71803
22.673999,23,8.761025
24.421679,26,8.809604
19.832793,24,8.854484
9.272922,11,8.874949
34.564736,39,8.948545
7.269453,9,8.966286
8.084355,10,8.98578
27.479496,25,9.032975
20.568876,25,9.079431
18.38038,23,9.121792
17.913891,21,9.160708
8.516329,10,9.179987
5.780647,8,9.194753
20.367626,23,9.236824
22.696449,26,9.285546
14.921872,21,9.325211
7.083041,9,9.341818
33.210115,37,9.409272
9.520213,12,9.431817
30.638731,30,9.485923
8.200549,10,9.504737
16.79973,22,9.545592
18.342027,22,9.586418
5.770712,8,9.60171
18.568265,24,9.646603
16.065413,19,9.682004
15.738892,21,9.721545
7.637293,9,9.738889
26.472606,32,9.797044
17.891322,22,9.838154
4.457293,7,9.851123
10.141595,12,9.873947
26.196031,27,9.923751
5.204941,7,9.936935
20.878012,24,9.980953
37.120131,42,10.05982
21.222464,23,10.101724
5.076607,7,10.114784
19.908744,22,10.156263
39.426957,42,10.233222
19.941429,22,10.273806
6.305537,9,10.291081
11.845693,14,10.317034
19.314967,22,10.358624
31.626099,33,10.420942
11.190477,15,10.449813
20.088612,22,10.491262
7.477989,9,10.508598
20.724834,24,10.554743
17.361757,18,10.589306
8.889625,11,10.610227
12.434324,18,10.645144
20.917254,22,10.687505
19.134015,23,10.731736
11.363454,15,10.761453
15.917755,20,10.800234
19.356949,23,10.845182
24.768734,27,10.896618
17.439679,19,10.932756
24.46544,27,10.985112
9.789271,13,11.009547
12.415582,14,11.037073
6.220795,8,11.052872
12.016746,16,11.083704
4.508931,7,11.097496
15.89073,21,11.138189
14.763608,16,11.169647
7.049078,9,11.188024
16.224666,21,11.228432
12.435625,18,11.263996
7.524541,10,11.283647
7.364271,9,11.301018
22.996192,25,11.349403
14.04371,15,11.378225
11.348888,13,11.403791
12.153826,18,11.437672
30.339212,29,11.493016
7.652736,9,11.510924
6.472001,9,11.528358
25.87054,29,11.584419
25.088378,26,11.63482
13.489467,20,11.67298
15.826478,19,11.709783
18.129383,22,11.751796
23.160803,29,11.807921
25.38771,26,11.858559
17.548239,22,11.900412
16.24455,21,11.940358
10.050006,12,11.963122
18.432128,21,12.00301
12.059477,15,12.032162
11.014298,14,12.058956
6.406583,8,12.074033
19.309697,24,12.119647
21.278608,21,12.160489
8.950805,11,12.18154
11.256862,19,12.217475
13.62782,17,12.249974
12.168994,18,12.284282
8.185626,10,12.303697
18.428427,25,12.355294
5.44841,7,12.369629
17.956419,26,12.41947
8.570254,11,12.440541
