# {"t_start": 1562835804.774574, "env_id": "HalfCheetah-v2"} 
r,l,t
-834.226025,1000,4.613838
-838.229862,1000,7.171365
-771.196944,1000,9.531116
-751.93162,1000,12.128337
-958.458398,1000,14.569759
-929.882227,1000,16.94685
-773.20401,1000,19.543956
-824.877961,1000,22.08488
-961.59618,1000,24.676434
-819.653834,1000,26.989438
-748.639614,1000,179.376339
-796.955307,1000,181.908263
-783.90884,1000,184.462044
-847.309167,1000,187.0295
-801.781421,1000,189.623219
-775.605052,1000,192.004993
-844.77742,1000,194.426742
-766.724245,1000,196.932992
-666.605551,1000,199.481237
-888.484487,1000,202.045582
-816.927658,1000,354.317354
-727.209032,1000,356.922774
-604.076723,1000,359.326119
-717.048251,1000,361.662613
-745.5041,1000,364.207348
-802.808657,1000,366.61015
-679.230078,1000,369.134153
-774.984682,1000,371.483532
-781.609717,1000,374.034935
-680.165184,1000,376.466438
-707.604605,1000,530.29186
-596.212746,1000,532.872248
-751.77147,1000,535.425059
-770.270086,1000,537.820409
-674.824392,1000,540.329838
-664.785658,1000,542.835038
-725.181839,1000,545.411692
-764.680188,1000,547.836061
-813.558324,1000,550.381421
-674.535935,1000,552.903121
-678.860419,1000,705.209869
-618.737771,1000,707.73503
-656.208699,1000,710.313895
-659.356816,1000,712.807326
-575.472229,1000,715.332974
-676.167997,1000,717.871847
-655.783522,1000,720.462308
-676.689874,1000,723.076403
-650.572748,1000,725.65659
-677.59282,1000,728.173582
-570.514084,1000,881.281044
-521.770688,1000,883.812718
-589.102709,1000,886.239841
-655.55109,1000,888.776755
-622.531612,1000,891.153662
-527.679043,1000,893.701852
-762.782619,1000,896.283755
-638.314914,1000,898.813369
-655.649737,1000,901.340995
-604.901842,1000,903.908248
-513.261278,1000,1056.327658
-564.482061,1000,1058.83525
-539.687942,1000,1061.304574
-536.15659,1000,1063.860155
-658.934932,1000,1066.506451
-528.490843,1000,1069.018216
-565.991601,1000,1071.538183
-570.325201,1000,1074.097768
-551.007388,1000,1076.61676
-508.761812,1000,1079.08914
-452.472651,1000,1232.535873
-489.172585,1000,1235.146993
-480.328662,1000,1237.742904
-507.028112,1000,1240.307576
-602.135917,1000,1242.741132
-509.058712,1000,1245.29265
-495.835431,1000,1247.906265
-508.641514,1000,1250.303738
-520.529179,1000,1252.848197
-537.920123,1000,1255.238799
-499.619815,1000,1408.29325
-407.318843,1000,1410.88037
-386.355399,1000,1413.453321
-481.391211,1000,1415.829633
-411.89014,1000,1418.441118
-396.493471,1000,1420.786366
-478.930372,1000,1423.304059
-449.729792,1000,1425.618635
-504.193487,1000,1427.988725
-441.141899,1000,1430.574708
-444.929886,1000,1583.225954
-414.897412,1000,1585.807585
-414.308915,1000,1588.105743
-423.468486,1000,1590.645188
-351.702274,1000,1593.220426
-412.704572,1000,1595.814187
-442.174695,1000,1598.306597
-456.227693,1000,1600.900033
-400.228428,1000,1603.511051
-449.297482,1000,1606.072248
-415.178263,1000,1759.159922
-368.790776,1000,1761.605269
-346.773707,1000,1764.043174
-390.608468,1000,1766.47998
-350.691013,1000,1768.879608
-329.205295,1000,1771.464663
-341.426657,1000,1774.038468
-267.964747,1000,1776.636183
-314.568956,1000,1779.21377
-334.128172,1000,1781.800939
-301.398455,1000,1934.288406
-358.316955,1000,1936.817917
-344.649362,1000,1939.181273
-254.737789,1000,1941.459094
-272.94627,1000,1943.933302
-227.417086,1000,1946.426826
-311.256485,1000,1948.97736
-291.579441,1000,1951.562211
-295.530462,1000,1954.16206
-296.944769,1000,1956.743056
-242.950441,1000,2109.031776
-210.436482,1000,2111.500602
-263.084263,1000,2114.114607
-258.016035,1000,2116.660335
-225.514731,1000,2119.121862
-223.100026,1000,2121.437317
-353.782856,1000,2123.958144
-235.601861,1000,2126.53619
-270.212207,1000,2129.020941
-269.282402,1000,2131.484634
-253.953359,1000,2283.978953
-204.05839,1000,2286.469816
-242.549958,1000,2289.018297
-274.750413,1000,2291.473332
-177.112033,1000,2294.030942
-173.336388,1000,2296.520015
-330.708989,1000,2298.935491
-201.038266,1000,2301.38835
-241.790431,1000,2303.756354
-213.758505,1000,2306.180562
-183.281735,1000,2458.400961
-170.723211,1000,2460.863595
-177.420071,1000,2463.422734
-201.580481,1000,2465.870101
-236.253472,1000,2468.464246
-188.279666,1000,2471.032461
-190.804831,1000,2473.559448
-162.297084,1000,2476.058891
-136.610954,1000,2478.586104
-213.523598,1000,2481.128384
-111.321781,1000,2633.704079
-98.478514,1000,2636.188048
-140.751687,1000,2638.476329
-112.542659,1000,2640.994703
-112.544382,1000,2643.481405
-114.648514,1000,2646.083347
-86.663579,1000,2648.662045
-219.943148,1000,2651.171759
-196.226753,1000,2653.600787
-207.554477,1000,2655.956847
-77.677321,1000,2808.42047
-175.896856,1000,2810.986352
-43.236779,1000,2813.548862
-91.67954,1000,2816.054011
-81.340618,1000,2818.368119
-49.808789,1000,2820.961154
-108.51757,1000,2823.48096
-198.488148,1000,2826.144984
-182.843972,1000,2828.678944
-119.869663,1000,2831.135657
-72.528874,1000,2983.533303
-73.525205,1000,2985.965088
-413.907959,1000,2988.571269
-20.787822,1000,2991.187642
24.451998,1000,2993.768211
-25.654144,1000,2996.264027
-28.176355,1000,2998.868953
7.44597,1000,3001.407841
-68.272402,1000,3003.894051
-115.724507,1000,3006.490384
-86.021707,1000,3158.94407
-36.750541,1000,3161.371076
6.477565,1000,3163.804358
-19.520032,1000,3166.298921
-103.497486,1000,3168.911304
15.878242,1000,3171.365991
-88.668679,1000,3173.691811
41.30768,1000,3176.260888
-45.242631,1000,3178.770676
-0.466717,1000,3181.341668
5.773069,1000,3333.491055
-56.683963,1000,3336.015759
15.782922,1000,3338.555071
-11.519404,1000,3340.896029
48.906997,1000,3343.365635
0.518249,1000,3345.906681
19.767986,1000,3348.369155
0.181732,1000,3350.638564
-124.504765,1000,3353.236697
-61.394869,1000,3355.831753
32.01278,1000,3508.136104
-9.6415,1000,3510.711734
22.662001,1000,3513.22655
103.344768,1000,3515.783528
45.984807,1000,3518.159565
41.45499,1000,3520.736088
-48.286726,1000,3523.314868
58.827424,1000,3525.754081
40.587681,1000,3528.17665
80.959179,1000,3530.687468
143.833214,1000,3683.287349
46.652227,1000,3685.730836
-45.334946,1000,3688.2715
-17.742273,1000,3690.831171
-22.647462,1000,3693.21921
86.496042,1000,3695.803775
105.727792,1000,3698.435641
82.592834,1000,3700.918048
201.414869,1000,3703.365698
-115.075225,1000,3705.883577
148.973552,1000,3858.180841
53.657694,1000,3860.675122
-13.264381,1000,3863.034239
96.775338,1000,3865.363043
41.198359,1000,3867.881101
124.35325,1000,3870.168142
133.668007,1000,3872.472068
-5.673772,1000,3874.967081
145.064603,1000,3877.244682
106.718594,1000,3879.78226
117.341581,1000,4032.5066
92.108895,1000,4035.061768
-16.025051,1000,4037.385366
-8.036642,1000,4039.949832
194.557607,1000,4042.507914
212.684141,1000,4044.958575
172.46091,1000,4047.510697
30.23418,1000,4049.885221
79.229546,1000,4052.374086
77.337448,1000,4054.939214
151.173144,1000,4207.74927
10.013142,1000,4210.233123
207.249007,1000,4212.572726
140.002885,1000,4215.005414
149.16289,1000,4217.530509
112.850516,1000,4219.929657
161.955481,1000,4222.436024
82.476933,1000,4225.051086
128.339455,1000,4227.402755
122.870149,1000,4230.007172
126.053062,1000,4382.597179
159.425634,1000,4385.194163
49.915768,1000,4387.751417
121.628654,1000,4390.300935
114.079943,1000,4392.85248
55.958984,1000,4395.422951
198.268068,1000,4397.980697
132.715681,1000,4400.447736
77.507873,1000,4402.823317
158.293137,1000,4405.414656
182.200313,1000,4558.332741
163.852007,1000,4560.783842
167.651317,1000,4563.158901
118.471204,1000,4565.611981
