# {"t_start": 1568008889.3929036, "env_id": "HalfCheetah-v2"} 
r,l,t
-684.566214,1000,3.368444
-689.908352,1000,4.753377
-917.271264,1000,6.114328
-865.367952,1000,7.482732
-752.398478,1000,8.860065
-750.808173,1000,10.224271
-783.296612,1000,11.588346
-698.37816,1000,12.948334
-813.426149,1000,14.318879
-634.602572,1000,15.68488
-681.402349,1000,17.049135
-690.195448,1000,18.423646
-705.915565,1000,19.814991
-835.483019,1000,21.209879
-589.77215,1000,22.596714
-605.476466,1000,23.965898
-685.056583,1000,25.324635
-784.445437,1000,26.682027
-646.978107,1000,28.042786
-637.095872,1000,29.410193
-627.761616,1000,30.833765
-713.098559,1000,32.196896
-616.70926,1000,33.569802
-666.674448,1000,34.933049
-565.208087,1000,36.29937
-766.410728,1000,37.726923
-668.967093,1000,39.13955
-568.510928,1000,40.510348
-784.028625,1000,41.87249
-578.051262,1000,43.242875
-710.504002,1000,44.602762
-640.836194,1000,45.96142
-700.669817,1000,47.344464
-617.554896,1000,48.740708
-615.019616,1000,50.105564
-565.842828,1000,51.491801
-646.157787,1000,52.982169
-688.320546,1000,54.367324
-659.74898,1000,55.925841
-669.885383,1000,57.471028
-573.115338,1000,59.089737
-620.354082,1000,60.748937
-588.126762,1000,62.361399
-762.192144,1000,63.993311
-575.936268,1000,65.579064
-490.847563,1000,67.177342
-524.455093,1000,68.766512
-618.286932,1000,70.355787
-622.505122,1000,71.989052
-624.678561,1000,73.623981
-575.984446,1000,75.225509
-603.428771,1000,76.816236
-560.373969,1000,78.401102
-495.321873,1000,79.992556
-656.922459,1000,81.585095
-600.850409,1000,83.183508
-652.111236,1000,84.802961
-525.142528,1000,86.407447
-546.206346,1000,88.04957
-562.598777,1000,89.714087
-593.880057,1000,91.314562
-535.416525,1000,92.938477
-496.566568,1000,94.573422
-511.652191,1000,96.177243
-506.59373,1000,97.792489
-581.05562,1000,99.457677
-560.699907,1000,101.118493
-502.36995,1000,102.752666
-524.172841,1000,104.38866
-538.096868,1000,106.003587
-551.362073,1000,107.628335
-585.073747,1000,109.230407
-519.306548,1000,110.9024
-585.371719,1000,112.518956
-503.784486,1000,114.14773
-553.588448,1000,115.79695
-575.974409,1000,117.401339
-494.059543,1000,119.008873
